date,year,v1_tf,v2_labmax,v3_prop75,ni_pretax,v4_pretax,ni_exh,v5_exhouse,cap_exhouse,v6_exh_labmax,govnp,ni_bus,v7_business,v7_labmax,corp_nva,corp_ni_tf,v8_corp_tf,v8_corp_std,v8_corp_extax,v9_gross,housing_gross
1975-09-01,1975,74.84813633790732,84.2984051477456,81.93583794528602,1329321,71.91889694061855,1255050,76.17489343054062,14.207322417433568,85.79267758256643,248431,1028866,68.77494250952019,80.50708255496829,869944,732644,83.71255343659404,70.5005149756766,78.16235656354024,56.21025437201908,7.1964280674687915
1975-12-01,1975,74.8288729200717,84.35492167264736,81.97340948450345,1367528,71.91238497493288,1292372,76.09434435286434,14.218506745735748,85.78149325426425,254209,1060019,68.79244617313464,80.60298919170317,895527,755219,83.69651716919198,70.58324316296438,78.1789914646409,56.301550633907844,7.163774077477307
1976-03-01,1976,74.89414465114048,84.22277412236193,81.89061675455656,1415759,71.6754758401677,1333279,76.10950146218458,14.410487227354515,85.58951277264549,257991,1096924,68.98937392198548,80.51205005998592,938097,788749,83.52302189923537,70.22589348436249,77.54148162708496,56.31872980493972,7.062318723144941
1976-06-01,1976,75.16327677136607,84.4994853823921,82.16543322963558,1437102,72.05758533493099,1357267,76.29604197258166,14.227045968110916,85.77295403188909,261529,1116193,69.34392170529648,80.86764564909474,950787,800991,84.10968412878546,70.85824690493244,78.304708085233,56.54368242874304,7.0640493611444795
1976-09-01,1976,75.21372137412718,84.64268913009182,82.28544719110066,1466186,72.18811255870673,1387183,76.29937794797081,14.135553852663996,85.86444614733601,265303,1141903,69.4550237629641,81.07466220861141,970678,819398,84.27345441409425,71.13945098168497,78.61478771098548,56.62400832872796,7.060854604099202
1976-12-01,1976,75.48729945779846,84.96413620726128,82.59492701989556,1495572,72.53619350990792,1417982,76.50527298654002,13.890091693688637,86.10990830631137,271730,1165374,69.77167844829214,81.45822714424726,989559,836659,84.63543689842577,71.55813852433256,79.10721048521606,56.83793530363783,7.0705356015464425
1977-03-01,1977,75.52954553009504,84.9316880669341,82.58115243272432,1536967,72.43753444283449,1457601,76.38173958442674,14.110034227473774,85.88996577252622,276119,1197928,69.8891753093675,81.4584849840725,1026561,867497,84.58807350342423,71.48128557387237,78.86775499587819,56.77686742760744,7.070405210652627
1977-06-01,1977,75.10410151480924,84.27776595341841,81.98434984376611,1600098,71.89265907463168,1515363,75.91270210504018,14.81486614098404,85.18513385901596,280999,1250679,69.51056186279612,80.74533913178361,1078572,911956,83.5166389606516,70.61512815092549,77.68805029906893,56.52262569722603,6.998449298548355
1977-09-01,1977,74.75594008754412,83.75874397833782,81.5080430056394,1652214,71.55071921676006,1565769,75.50098386160411,15.406487163815353,84.59351283618464,287414,1293960,69.14873720980556,80.15124115119478,1119525,947537,82.7446316080533,70.03291574551707,76.9887772406486,56.3510668926739,6.95973245218479
1977-12-01,1977,74.67425786230247,84.27134763142064,81.87207518914109,1702497,71.52341531291978,1615564,75.37206820652106,14.941159867389963,85.05884013261003,296930,1333731,69.03596002492257,80.76966044877115,1143587,967167,83.47193400932828,70.5948038933636,77.70073811143952,56.49105975595838,6.945193163271839
