date,gdi,comp,wages,supp,topi,subsidies,nos,nos_priv,interest,bctp,prop,rental,cprof,ctax,cprof_at,gov_ent,cfc,topi_net,ucap,ni,lab_net,cap_net,prop_net,capmax_net,labmax_net,c_comp,c_wages,c_supp,c_ucap,c_prop,c_cfc,c_topi,c_ctax,c_rent,lab_gross
1954-09-01,387551,213281,196391,16890,28744,328,NA,99554,5308,883,42248,13144,37971,17660,20311,NA,46300,28416,39646,295175,72.25578046921318,13.431354281358516,14.312865249428306,27.744219530786822,86.56864571864148,55.03301500963744,50.67487891916161,4.358136090475834,10.229879422321192,10.90127492897709,11.946814741801724,7.3321962786833215,4.556819618579232,3.3915536277806018,55.03301500963744
1954-12-01,396846,217593,200417,17176,29319,160,NA,103104,5519,943,41992,13287,41361,19024,22337,NA,46991,29159,42086,301671,72.12924013246219,13.950959820466668,13.919800047071147,27.870759867537814,86.04904017953334,54.830589195808955,50.50246191217752,4.328127283631434,10.605121382097842,10.581434611914949,11.841117209194499,7.347686508116499,4.793799105950419,3.3481501640434828,54.830589195808955
1955-03-01,409644,221965,204126,17839,30248,264,NA,110233,5564,1101,43667,13333,46568,21132,25436,NA,47461,29984,45434,311066,71.35623951187208,14.605903570303408,14.037856917824513,28.64376048812792,85.39409642969659,54.184853189598776,49.83009637636582,4.354756813232953,11.091093730165705,10.659743582232377,11.585913622560076,7.3195262227690385,5.158625538272256,3.2547773188427023,54.184853189598776
1955-06-01,419737,228153,209921,18232,31228,327,NA,112505,5737,1245,44270,13386,47867,21380,26487,NA,48178,30901,46855,319278,71.45904196342998,14.67529864256228,13.86565939400773,28.54095803657001,85.32470135743772,54.35618017949335,50.01250783228546,4.343672347207894,11.162942509237928,10.547080671944574,11.478139882831393,7.361990961006535,5.0936657954862214,3.1891398661542825,54.35618017949335
1955-09-01,428228,233980,215316,18664,31941,31,NA,113022,5802,1372,44635,13441,47773,21888,25885,NA,49315,31910,46500,325115,71.96838041923627,14.302631376589822,13.728988204173907,28.03161958076373,85.69736862341018,54.639117479473555,50.280691594197485,4.358425885276068,10.858701439420122,10.423185779538002,11.516061537311899,7.4516379125138945,5.11129585174253,3.138748517145072,54.639117479473555
1955-12-01,435768,238461,219521,18940,32451,181,NA,114434,5872,1471,44518,13527,49046,22756,26290,NA,50603,32270,47160,330139,72.23048473521759,14.284892121197435,13.484623143584974,27.76951526478241,85.71510787880257,54.72200804097593,50.37565860733234,4.34634943364359,10.822272401828496,10.215986488223091,11.612371720732133,7.405316590479337,5.222044757761011,3.1041746984634027,54.72200804097593
1956-03-01,440533,242910,223364,19546,33031,300,NA,112749,6018,1574,44863,13595,46700,21684,25016,NA,52144,32731,46203,333976,72.73277121709344,13.83422760916952,13.433001173737035,27.267228782906557,86.16577239083048,55.140023562366494,50.70312553202598,4.43689803034052,10.487977064147294,10.183800078541221,11.836570699584367,7.429863370054003,4.922219220807522,3.0860344173989236,55.140023562366494
1956-06-01,447678,247573,227583,19990,33596,556,NA,113559,6199,1623,45251,13604,46882,22096,24786,NA,53505,33040,46212,339036,73.02262886537123,13.630410929812763,13.346960204816007,26.977371134628772,86.36958907018723,55.301578366593844,50.836315387398976,4.4652629791948675,10.32259793869701,10.107934720937816,11.95167062040127,7.380304593926885,4.935690384606794,3.0387912740853915,55.301578366593844
1956-09-01,453772,250502,230035,20467,34597,899,NA,114753,6584,1674,46408,13682,46405,20728,25677,NA,54819,33698,47617,344527,72.70896040078136,13.820977746301452,13.470061852917189,27.29103959921864,86.17902225369855,55.20437576580309,50.69396084377176,4.5104149220313285,10.493595902788185,10.227162539777686,12.080736581366853,7.4261964158211615,4.567932794443024,3.0151706143173223,55.20437576580309
1956-12-01,463554,256445,235449,20996,35724,1213,NA,116567,6979,1731,46753,13790,47314,21856,25458,NA,56032,34511,47958,351156,73.02879631844536,13.65717800635615,13.314025675198486,26.971203681554638,86.34282199364385,55.321494367430766,50.792140721469345,4.52935364596142,10.345720239713172,10.085772099906375,12.087480638717388,7.444871579147198,4.714876799682453,2.9748421974570385,55.321494367430766
1957-03-01,471077,260300,238344,21956,36144,1286,NA,118606,7362,1798,46927,13871,48647,22344,26303,NA,57313,34858,49334,356561,73.00293638395674,13.836061711740768,13.16100190430249,26.997063616043256,86.16393828825923,55.25635936375582,50.595550196676975,4.660809167078843,10.472597898008182,9.961641090522356,12.16637619752185,7.399639549373032,4.74317362129758,2.9445292383198503,55.25635936375582
1957-06-01,473964,262135,239695,22440,36561,1218,NA,118066,7556,1826,47713,13970,47001,21356,25645,NA,58420,35343,48997,358845,73.04964539007092,13.654084632640833,13.296269977288244,26.95035460992908,86.34591536735917,55.306943143361096,50.57240634309779,4.734536800263311,10.337704973373505,10.066798322235444,12.32583065380493,7.456895460414715,4.505827446810306,2.947481243301179,55.306943143361096
1957-09-01,478836,264802,241907,22895,37012,1061,NA,118594,7741,1840,48805,14080,46128,20864,25264,NA,59488,35951,48925,362532,73.04237970717068,13.495360409563846,13.462259883265478,26.957620292829322,86.50463959043616,55.30118871596956,50.51980218697007,4.781386528999491,10.217485736243724,10.19242496387072,12.423460224377449,7.507998563182384,4.3572329565863885,2.9404639584325323,55.30118871596956
