year,gdi,comp,wages,supp,topi,subsidies,interest,bctp,prop,rental,cprof,ctax,cprof_at,cfc,topi_net,ucap,ni,lab_net,cap_net,prop_net,capmax_net,labmax_net,lab_gross
2008,14578667,8068679,6545949,1522730,1049740,52557,851777,112781,960304,290275,955428,255918,699509,2358968,997183,1954342,10983325,73.46299048785318,17.793719115113138,8.743290397033686,26.537009512146824,82.20628088488687,55.34579396044919
2009,14286347,7767191,6257281,1509910,1026817,58347,706240,125118,938126,347592,1076888,203933,872955,2371277,968470,2051905,10757222,72.2044315902377,19.074673740116175,8.720894669646123,27.795568409762296,80.92532625988383,54.367929044422624
2010,14979526,7932969,6380110,1552859,1063073,55808,610260,126327,1108503,433671,1388685,272267,1116418,2390391,1007265,2286676,11328148,70.0288255414742,20.18578853313004,9.78538592539575,29.971174458525788,79.81421146686996,52.958745156555686
2011,15624026,8234013,6634020,1599993,1103723,60008,574894,130122,1228337,506541,1449878,280763,1169115,2474368,1043715,2380672,11843022,69.52628307200645,20.10189628964634,10.371820638347206,30.473716927993546,79.89810371035365,52.70096836756416
2012,16407611,8575371,6936133,1639238,1136114,58037,609967,95532,1299922,534468,1652370,334589,1317781,2575548,1078077,2557748,12433041,68.97243401674618,20.572183426403885,10.45538255684993,31.027565983253815,79.42781657359612,52.264592328523634
2013,16910471,8843638,7122593,1721044,1185823,59720,552747,107299,1351739,578687,1682298,362418,1319880,2681603,1126103,2558613,12753990,69.34016727314354,20.06127494219456,10.598557784661898,30.659832726856457,79.93872505780544,52.29681657004113
2014,17749078,9259655,7485778,1773876,1237712,58090,586693,135474,1369965,598502,1807956,406890,1401066,2819685,1179622,2721735,13351355,69.3536723426199,20.385459003973754,10.26086865340634,30.646327657380095,79.61454099602625,52.16978031196888
2015,18387992,9709535,7869599,1839937,1273454,57192,661192,153909,1347722,601351,1777928,396125,1381803,2922938,1216262,2798255,13855512,70.07705669772434,20.195969661749057,9.7269736405266,29.92294330227566,79.80403033825094,52.803672092091404
2016,18752004,9977096,8102227,1874870,1309126,61748,666724,162512,1349214,618723,1724401,376034,1348367,3008109,1247378,2796326,14122636,70.64613150122966,19.800312066387605,9.553556432382736,29.353868498770343,80.1996879336124,53.2054920636749
2017,19544200,10434978,8485016,1949962,1363971,59875,720494,142925,1428634,642028,1726343,297156,1429187,3148953,1304096,2934634,14798246,70.51496508437555,19.830958344657873,9.654076570966586,29.48503491562446,80.16904165534213,53.391686536159064
2018,20593076,10967687,8910107,2057580,1457094,63320,756397,155811,1495331,671488,1844577,297423,1547154,3312603,1393774,3130850,15593868,70.333332307289,20.07744326167183,9.589224431039176,29.666667692711005,79.92255673832817,53.25910029176797
2019,21482943,11458472,9337004,2121468,1533632,72956,754522,161396,1555775,688432,1938296,297195,1641101,3477516,1460676,3245451,16259698,70.47161638549498,19.960093969764998,9.56828964474002,29.528383614505017,80.039906030235,53.33753387513061
2020,21254695,11605744,9472949,2132796,1521265,698507,751128,146079,1599507,743428,1966263,311059,1655204,3622850,822758,3295839,16501090,70.33319617067721,19.973462359153245,9.693341470169546,29.66680382932279,80.02653764084675,54.603201786711125
2021,23687817,12569557,10326157,2243400,1700086,626071,698044,193174,1818662,776719,2697790,468876,2228914,3870788,1074015,3896851,18285070,68.74218693174268,21.311654809087415,9.946158259169913,31.257813068257327,78.68834519091259,53.06338275071949
2022,26055012,13462215,11141606,2320608,1834472,127995,688984,252829,1868919,871106,2913118,600568,2312550,4307374,1706477,4125469,19456603,69.1909836470426,21.203439264295007,9.605577088662393,30.8090163529574,78.796560735705,51.66842755627977
2023,27485663,14228378,11753395,2474983,1861013,102252,647380,238648,1941958,1002484,3144250,613010,2531240,4570723,1758761,4419752,20590088,69.10304608702984,21.46543521329292,9.431518699677243,30.89695391297016,78.53456478670708,51.766544616369636
2024,29001715,15049121,12409992,2639130,1954685,94239,611088,286430,2023080,1078149,3344161,680341,2663820,4796699,1860446,4639487,21711688,69.31345457801346,21.368614913773634,9.317930508212903,30.686545421986537,78.63138508622637,51.890451995683705
2025,30532476,15749645,12981391,2768254,2213775,112108,611474,282443,2109356,1114510,3550884,695171,2855713,5065043,2101667,4864140,22723141,69.31103846954962,21.406107544727202,9.282853985723188,30.68896153045039,78.5938924552728,51.58325515428228
