year,nq,gdi,comp,prop,ucap,ni,rental,interest,bctp,cprof,ctax,cfc,A194RC,W151RC,W152RC,A439RC,A442RC,W321RC,A451RC,A2009C,ni_pretax,ni_exh,govnp,ni_bus,v1_tf,v2_labmax,v3_prop75,v4_pretax,v5_exhouse,cap_exhouse,cap_tf,v6_exh_labmax,v7_business,v7_labmax,v8_corp_tf,v8_corp_std,v8_corp_extax,v9_gross,govnp_share,prop_share,rental_share
1979,4,2582329.25,1477302,179437,302101.5,1958840.5,16092.5,139389,12752.25,214604.75,80737,373880.25,262582,6378.25,70547.25,1381003.75,1004442.25,115009,1564355.5,177735.5,2039577.5,1942748,339507.5,1619333,75.4171664308554,84.57753451595472,82.2874424946799,72.431765892691,76.04187470531433,14.721878493762445,15.422465484045281,85.27812150623755,70.26315773222679,81.3440780864714,84.7446262215961,72.73276774230338,79.3401591910235,57.20811937517263,17.33206455553681,9.160368085099323,0.8215319215627817
1980,4,2813037.25,1622345.5,171570.25,329159.75,2123075.5,18978.75,184013.5,13997,187654.5,75484,428429.5,288617,6103,80425.5,1490293.75,1102003.5,128574,1702381.75,203978.75,2198559.5,2104096.75,375145.5,1747930,76.41487549547814,84.49608833976936,82.47578512869656,73.7912937994173,77.10413031149827,14.741765082808097,15.503911660230642,85.2582349171919,71.35297180093025,81.16859656851247,85.6766343183977,73.94538828335018,80.9273347177347,57.67237884958686,17.669908583090898,8.081212844291217,0.8939272296251358
1981,4,3169337,1792680.75,179678.5,419980,2392339.25,23780.75,233385,16913.75,216215.5,70315,487229,318094.75,6163,90681.25,1690250.5,1220566,154404,1935130.5,231590,2462654.25,2368558.5,414939,1977400.25,74.93421971821095,82.4447974926633,80.56715304905022,72.79465844626789,75.6865726559002,16.72744202855872,17.5552025073367,83.27255797144127,69.67439950510779,78.7610019772173,83.28486968720904,72.21213660342062,79.47187430514703,56.56327332814403,17.344488245134965,7.510577774452348,0.994037530421323
1982,4,3335139.5,1893174.25,171191,460018.5,2524383.75,23832.75,272994,19317.25,195168.5,51294,536963.25,345601.5,6250.25,101072.75,1746044.25,1275113.75,161301,2018564.25,258636,2575677.75,2500551,452924.5,2071459.25,74.99550137731634,81.77699804952397,80.08162388147207,73.50198408943044,75.71028345352684,17.443585433770398,18.223001950476032,82.5564145662296,69.52826853822975,77.79253924497911,83.15330618212504,73.02871906024146,80.46185083924478,56.76446967210817,17.941982870076707,6.781496672207623,0.9441017040297459
1983,4,3577185.75,2012661,186251,509140.25,2708052.25,24436.25,286595,21681.25,242846.75,66419,562622.25,367269.75,6283,111844.75,1886580.25,1352980.5,177439,2172456,280617,2774471.25,2683616,485397.5,2222654.75,74.3213503358364,81.19902413256612,79.4796056833837,72.54214654413882,74.9980995790754,18.06160046742902,18.800975867433873,81.93839953257098,68.7134832793982,77.0931472825458,82.3620974269996,71.71603222285403,79.16142097676246,56.26381017535922,17.924229490032918,6.877673796729734,0.9023551890477741
1984,4,3996192.75,2216082.75,228248.75,604147,3048478.5,24653.25,331112.75,29159,300699,81477,598396,394328.25,7292,122622.5,2131610.25,1501072.5,195621,2434778.5,303063.5,3129955.5,3023825.25,524242.75,2524235.75,72.6947147568861,80.1820153889883,78.31019023096276,70.80237242989557,73.28739483209223,19.164260566975557,19.81798461101169,80.83573943302444,67.02385068431109,76.06614199961315,80.9416330358562,70.4196510595687,77.53516709868094,55.45485137072029,17.19686558392982,7.487300632102211,0.8087067040164463
1985,4,4284905.75,2387539.5,241051,645922.5,3274513,26203,352289.5,34060,314980,81610,640138.25,426625.25,7341,132198.25,2274630.25,1615931.25,209049,2601494.25,333770.25,3356123,3248310,566164.5,2708348.5,72.91281176773462,80.27424230717666,78.43388467231615,71.13980923821921,73.50097435281731,19.078212978441098,19.72575769282333,80.9217870215589,67.25039262857051,76.1506874023044,81.44932795775141,71.04149124896233,78.23130898385139,55.71976699837563,17.29003671691027,7.361430539442049,0.8002105962016336
1986,4,4499784.5,2543845.25,256478.75,621275.5,3421599.5,18268.25,374826.75,35960.75,284090.75,91871,685294.75,453260,7739.25,144377.75,2356902,1723353.75,219623,2706769.75,364461,3513470.5,3403331.25,605377,2816222.5,74.34666886057238,81.84254177030363,79.96857354287081,72.4026357984221,74.74574360047967,17.71814747682877,18.157458229696374,82.28185252317122,68.8322122985666,77.93940287033429,84.2547672640373,73.1194487509451,80.633073641766,56.532601727927194,17.69280712134778,7.495872909731253,0.533909652488551
1987,4,4811610.75,2723760.75,286467.75,638285.25,3648513.75,16596,378296.5,33292.25,322802.75,112702,730383,480876.5,7729.25,163305.75,2523839.25,1847640,233366,2895131.5,392064.25,3761216,3631917.75,651911.5,2996602.25,74.653980679119,82.50560930461067,80.54270214823777,72.41702550451768,74.99511105393287,17.117382407682552,17.49439069538932,82.88261759231744,69.13994841991459,78.69970063594526,84.84086655106682,73.20751509827736,80.66629898428197,56.60808597204169,17.86786468873798,7.851628625491681,0.4548701508936344
1988,4,5233613.75,2948853,325524,699954,3974331,22490.75,409714.75,32756,359258.5,124266,784496.75,516305,8344.25,184762.25,2742677.75,2002308.75,252014,3142533.75,424191.25,4098597,3951840.25,709411.5,3264919.5,74.19746870605393,82.3881302287102,80.34046484804612,71.94786411057247,74.61974203031107,17.14298167796636,17.61186977128981,82.85701832203364,68.5910173282986,78.56137034925364,84.61420950894667,73.00561467711618,80.3925760753534,56.344490458433235,17.849834349479195,8.190661522656265,0.5659002735303124
