date,id,value
1951-09-01,p_nf_pretax_gross,20.10476078312611
1951-12-01,p_nf_pretax_gross,20.142674287731996
1952-03-01,p_nf_pretax_gross,18.824766086513772
1952-06-01,p_nf_pretax_gross,17.77073399299909
1952-09-01,p_nf_pretax_gross,17.356059822968408
1952-12-01,p_nf_pretax_gross,18.446512626301345
1953-03-01,p_nf_pretax_gross,18.526957477639534
1953-06-01,p_nf_pretax_gross,17.882550833621927
1953-09-01,p_nf_pretax_gross,17.339989568586542
1953-12-01,p_nf_pretax_gross,14.34386649913291
1954-03-01,p_nf_pretax_gross,15.522248729384918
1954-06-01,p_nf_pretax_gross,16.11712712893805
1954-09-01,p_nf_pretax_gross,16.965203385063788
1954-12-01,p_nf_pretax_gross,17.955267154493995
1955-03-01,p_nf_pretax_gross,19.55683599542431
1955-06-01,p_nf_pretax_gross,19.507812428739523
1955-09-01,p_nf_pretax_gross,19.072554162068457
1955-12-01,p_nf_pretax_gross,19.109443413003117
1956-03-01,p_nf_pretax_gross,17.958020212490283
1956-06-01,p_nf_pretax_gross,17.654155780709022
1956-09-01,p_nf_pretax_gross,17.212804282684086
1956-12-01,p_nf_pretax_gross,17.06780146487172
1957-03-01,p_nf_pretax_gross,17.269271570014144
1957-06-01,p_nf_pretax_gross,16.642097102665964
1957-09-01,p_nf_pretax_gross,16.165585195866377
1957-12-01,p_nf_pretax_gross,14.992547336696587
1958-03-01,p_nf_pretax_gross,13.12049354809927
1958-06-01,p_nf_pretax_gross,13.625800190683737
1958-09-01,p_nf_pretax_gross,14.865763001132317
1958-12-01,p_nf_pretax_gross,16.373007405547884
1959-03-01,p_nf_pretax_gross,17.06004485305519
1959-06-01,p_nf_pretax_gross,17.9672656601256
1959-09-01,p_nf_pretax_gross,16.12437530613222
1959-12-01,p_nf_pretax_gross,15.849865210479022
1960-03-01,p_nf_pretax_gross,16.61578411762642
1960-06-01,p_nf_pretax_gross,15.322178837081927
1960-09-01,p_nf_pretax_gross,15.072532513964898
1960-12-01,p_nf_pretax_gross,14.331105354305915
1961-03-01,p_nf_pretax_gross,13.841596686989531
1961-06-01,p_nf_pretax_gross,15.09636198589484
1961-09-01,p_nf_pretax_gross,15.621742063410945
1961-12-01,p_nf_pretax_gross,16.5829989920351
1962-03-01,p_nf_pretax_gross,16.467475506764952
1962-06-01,p_nf_pretax_gross,16.017139748756986
1962-09-01,p_nf_pretax_gross,16.257669672416114
1962-12-01,p_nf_pretax_gross,16.665793342806328
1963-03-01,p_nf_pretax_gross,16.702982577505264
1963-06-01,p_nf_pretax_gross,17.33479920271007
1963-09-01,p_nf_pretax_gross,17.465525481675655
1963-12-01,p_nf_pretax_gross,17.493910393313556
1964-03-01,p_nf_pretax_gross,18.02352291271494
1964-06-01,p_nf_pretax_gross,17.79029846613877
1964-09-01,p_nf_pretax_gross,17.697837823173543
1964-12-01,p_nf_pretax_gross,17.35635876840696
1965-03-01,p_nf_pretax_gross,18.68827864605486
1965-06-01,p_nf_pretax_gross,18.799570191517603
1965-09-01,p_nf_pretax_gross,18.71869513900598
