year,nq,gdi,comp,wages,supp,topi_net,prop,rental,ucap,cprof,cprof_at,ctax,cfc,interest,bctp,gov_ent,ni,nos_priv,lab_net,cap_net,prop_net,capmax_net,labmax_net,lab_gross,cap_gross,cfc_gross
1995,4,7547592,4202176.5,3422112,780064.25,523090.5,481185.5,124883,1007803,623730.25,429281.5,194449,1122381,408672.25,44966.25,16506.75,5691165,1683437.25,73.83684184169674,17.708202099218703,8.454956059084564,26.163158158303265,82.2917979007813,55.67572412499245,13.352642803161592,14.870716382125584
1996,4,8016093.25,4421067.25,3620594.25,800473,545518.5,543783.5,142529.75,1101278,701601.75,490215.75,211386,1175306.5,415887.75,52644.75,17753.5,6066128.75,1856447.25,72.88119708965952,18.154543785441415,8.964259124899055,27.11880291034047,81.84545621455858,55.152392968981495,13.738338186123272,14.661836674617028
1997,4,8567301.5,4713221,3881246,831975,577804,583957.75,147060.5,1210152,782311.5,557549.75,224762,1239326.25,455479,50062.75,18078.5,6507330.75,2018871.75,72.42940586660667,18.59674951976277,8.973844613630558,27.570594133393328,81.40325048023723,55.014067148214636,14.125241185920677,14.465771398380225
1998,4,9119210.75,5075701.75,4186179,889522.75,603104.25,640276.25,165206,1251713.25,732405.5,510600.5,221805,1309736.5,511830.5,64076.25,16874,6967691.25,2113794.25,72.84624946606237,17.964533804508058,9.189216729429566,27.15375053393762,82.03546619549195,55.65944125153594,13.726113852561198,14.362388762645933
1999,4,9660487.25,5409932.25,4465175.5,944756.5,628375.5,696351.5,178497.5,1282677,745039,517653.25,227385.75,1398936.5,518842.75,67683.5,16829,7388960.75,2206414.5,73.21641612455446,17.359369516207,9.424214359238544,26.783583875445544,82.640630483793,56.00061477230354,13.277560094083245,14.481013884677504
2000,4,10346712.75,5854629.25,4832429.5,1022199.75,662715.5,753559.25,183475.25,1319680,680746.75,447298.75,233448.25,1511227.5,603735.75,85170.25,11453.5,7927868.5,2306687.5,73.8487179750774,16.64608841582072,9.505193609101866,26.151282024922587,83.35391158417927,56.584437893088314,12.754582367235429,14.605870835642945
2001,4,10698653.75,6046343.25,4961629.25,1084713.75,668979.75,831055.75,202400.5,1376960.75,618383.25,448235.75,170147.75,1599508.5,627099.75,99224.75,5657.75,8254359.75,2378164.5,73.25029963710995,16.681617856551505,10.068082506338545,26.749700362890046,83.3183821434485,56.51499143058069,12.870411382366683,14.95055861584454
2002,4,11010780.75,6143367.75,5004096.25,1139271.5,718634.25,870135.75,208448.25,1452414.75,773589,612915.25,160673.75,1657981,550295.75,80755.5,7573,8465918.25,2483224.25,72.56587612336087,17.15602143925734,10.278102437381792,27.434123876639134,82.84397856074266,55.794115689752516,13.190842529490926,15.057796877846288
2003,4,11480643.5,6362295.5,5146958.75,1215336.75,756558.75,897509.75,227097,1526297.75,918144.75,704381.25,213763.5,1719097.75,518772.25,76047.25,5120.75,8786103,2637570.75,72.41316770358827,17.371726122491392,10.215106173920338,27.586832296411732,82.6282738775086,55.417586130951634,13.294531356190966,14.97387973069628
2004,4,12245295.75,6729301,5430826.75,1298474.25,821711.5,962895,242782.5,1630683,1125412,846900.5,278511.5,1821838.75,459037.5,81962.5,355,9322879,2872089.25,72.18050346893915,17.491195584539927,10.328300946520919,27.819496531060846,82.50880441546008,54.954172911666916,13.316811886719846,14.877866465577199
2005,4,13096197,7077721.75,5702993.25,1374728.25,881527,979141.25,221105.75,1810456.75,1304328.75,924580,379748.75,1971051.25,574129.75,90641.25,-3449.25,9867319.75,3169346.25,71.72891858500886,18.348009346712413,9.923072068278724,28.271081414991137,81.65199065328758,54.044099596241566,13.824293800711764,15.050562006664988
2006,4,14025375.25,7491255.25,6068317.75,1422937.75,945572.25,1050869.75,181119.5,1989271.25,1456385.25,1026239,430146.5,2124165.25,702094.75,79818,-5905,10531396.25,3470287.5,71.13259317348353,18.888960236397903,9.97844659011857,28.867406826516476,81.1110397636021,53.4121555856411,14.183372740775688,15.145158059139986
2007,4,14461930.75,7889368.5,6407285.5,1482083.25,982244.5,995396.75,186259,1963259.75,1258027.75,866246,391782,2252750,813507.5,97247.25,-12871,10848025,3350438.5,72.72631193235635,18.097854217703222,9.175833849940426,27.27368806764365,81.90214578229677,54.552664069422406,13.575364064027205,15.577104046083196
2008,4,14578662.5,8068679.5,6545949.25,1522730,997184,960304,290275.25,1954342.5,955427.5,699509.25,255918.5,2358962.25,851777,112781,-16727.75,10983326,3170564.75,73.46298835161589,17.79372204740167,8.743289600982434,26.537011648384105,82.20627795259833,55.34581447372144,13.40549930420572,16.180923661549883
2009,4,14286346.75,7767191,6257281.25,1509909.75,968470.75,938126.25,347592,2051904.5,1076888.25,872955.25,203933,2371276.25,706239.75,125117.5,-14555.75,10757221.75,3193964,72.20443326828324,19.074669535375154,8.72089719634161,27.795566731716765,80.92533046462485,54.36792999581926,14.362695627557828,16.598198906238924
2010,4,14979526.75,7932969.25,6380110.25,1552859,1007265,1108503.75,433670.75,2286676,1388685,1116417.75,272267.25,2390391.25,610260,126327.5,-18545.5,11328149,3667447,70.02882156652424,20.185786751215932,9.78539168225983,29.97117843347576,79.81421324878407,52.95874417394395,15.265342077646078,15.957722095592906
2011,4,15624021,8234013,6634020.25,1599992.75,1043715.75,1228336.25,506541.25,2380671,1449877.75,1169114.5,280763.25,2474363.25,574893.25,130122,-17841.5,11843020.25,3889770.5,69.52629334565226,20.101890816238367,10.37181583810937,30.473706654347737,79.89810918376163,52.700985232930755,15.237249105079927,15.836917077876432
2012,4,16407618.5,8575371,6936133,1639238,1078077.75,1299922,534468.75,2557749,1652369.5,1317780.75,334588.75,2575555.25,609967.25,95532.25,-13645.75,12433042,4192260,68.97242846923544,20.572189814849818,10.455381715914738,31.027571530764554,79.42781018515018,52.26456843813135,15.588788830018201,15.697313110979513
2013,4,16910471.5,8843637.75,7122593.25,1721044.75,1126103.5,1351738.75,578686.75,2558613.5,1682298,1319880.5,362417.75,2681603.25,552746.75,107299.5,-13643.25,12753990,4272770.5,69.34016531297264,20.06127886253635,10.598555824491003,30.659834687027352,79.93872113746365,52.29681354538222,15.130349854526528,15.857649208657488
2014,4,17749078.25,9259654.5,7485778.25,1773876.25,1179622.5,1369965.5,598502.25,2721735.75,1807956,1401066.5,406889.5,2819685.25,586692.75,135474.25,-8474.5,13351355.75,4498590.75,69.35366470180378,20.3854634762466,10.260871821949618,30.646335298196217,79.6145365237534,52.169776760097385,15.334518850295789,15.886375677001705
2015,4,18387991.75,9709535.25,7869598.75,1839936.5,1216262,1347722.25,601351.5,2798255.25,1777928,1381803,396125.25,2922938.25,661191.75,153909,-2846.75,13855512.75,4542102.5,70.07705470878369,20.19597037287559,9.726974918340716,29.92294529121631,79.80402962712441,52.80367416958407,15.217840469174671,15.895907991148626
