year,nq,w_corp,w_govnp,w_oth,l_corp,l_oth,conv_pct,oo_hous_gdi
1989,4,59.09279767185063,18.15953432287242,22.747668005276942,84.7383786310312,26.275945413555622,26.728057736856698,6.897360781154308
1990,4,58.49471313866426,18.76715423145845,22.73813262987729,85.74897423914904,26.80199753934895,27.325134425660703,7.03515898706983
1991,4,57.87830654396284,19.576261869275633,22.54543158676152,85.97768386465754,27.070206421073795,28.15625364734265,7.193986595974077
1992,4,57.542721053825005,19.699705697745678,22.757573248429317,86.7492944288935,26.778979209749362,29.201344874994497,7.222717249020112
1993,4,57.29298342124622,19.648333980778357,23.058682597975423,86.66385221038594,26.477943588500292,29.87318251786921,7.287789631811362
1994,4,57.722063488083705,19.19728729843003,23.08064921348626,85.0756186255848,26.153898360763048,29.769690001658688,7.3261642517734105
1995,4,58.0654180646669,18.852427402825256,23.082154532507843,84.36391861493018,25.986102774458978,29.501714499579613,7.4111087350773595
1996,4,58.25905030452906,18.271842647586404,23.469107047884535,83.57779658518268,25.21495118676867,29.58570158933735,7.396003034271089
1997,4,58.878265869611745,17.75209059413493,23.369643536253324,82.90899144399695,25.08356129252864,28.985855682838928,7.347812493817336
1998,4,58.94174774176453,17.467830538558953,23.590421719676513,83.94405459717707,25.011532615819327,29.02807655261705,7.3944995733320455
1999,4,58.887012628941086,17.42228431785891,23.690703053200004,84.67465955603686,25.038321265092325,29.262230821837836,7.44185030625655
2000,4,58.83597211532961,17.278408439796902,23.885619444873488,85.94661501057415,25.131368719339488,29.09790948222716,7.431217707285824
2001,4,56.63008266631461,17.56708326166666,25.80283407201873,85.86699731513912,27.34840984173246,30.08720936835834,7.7503559735261085
2002,4,55.820888064918414,18.36517261432332,25.813939320758266,84.06584392966556,28.180134685527094,31.10547990467543,7.874652757934536
2003,4,55.250533143078336,18.787311052465466,25.962155804456195,83.24201782157567,29.405100497608185,31.587146770303058,7.9102839488047865
2004,4,55.12366137112795,18.63735172364674,26.238986905225307,82.50849161739949,30.723176366562573,31.569810677581465,7.834022710313061
2005,4,55.205951443906535,18.363117299406458,26.430931256687003,81.56240805445182,31.54825616093714,30.52697770334239,7.858042682161852
2006,4,55.314063887777465,17.997266981574263,26.688669130648275,80.35972386691549,32.54226409569609,29.695518768463394,7.765736963080542
2007,4,54.77715989776941,18.35684836640771,26.86599173582288,82.3635152737015,34.44156909611298,29.24966756621597,7.973223077423462
2008,4,53.81948054714938,19.150471815186037,27.030047637664584,83.57616319208603,34.5255020276302,30.53663343872339,8.41602753338998
2009,4,52.9345785774101,20.26688024721625,26.79854117537365,80.91387600561264,33.979960652544065,32.21902067789948,8.70807472176188
2010,4,53.04542030653022,19.77715644453476,27.17742324893502,78.22781225878887,32.21568591148404,33.39080594720285,8.462133157844923
2011,4,53.18787874233349,19.22968931848276,27.582431939183756,78.23367447597764,31.49023309607288,33.87863412629055,8.218254122930327
2012,4,53.92233453405852,18.619357193517082,27.4583082724244,77.30481916038583,31.569709215522526,33.37351591026557,7.933771741462663
2013,4,53.866846767168546,18.606487067968533,27.526666164862917,77.97084345301532,31.726484517937166,33.742342592396575,7.946920640267186
2014,4,54.69390814487136,18.261209165968033,27.044882689160612,77.34758878040863,32.494266945104606,33.00478867099321,7.73102963811656
2015,4,55.366597674272285,18.198135612123053,26.435266713604662,77.55948254578152,33.806628600009816,32.26527109218675,7.674677143576595
2016,4,55.41964667857875,18.341885029753474,26.23846829166778,78.06223690072282,34.4624778390655,32.276514020593815,7.842930165913476
2017,4,55.693123459382605,17.97375668977019,26.333119850847204,78.04428900009631,34.46573156289894,31.9663730451866,7.844921922553469
2018,4,56.157882257239905,17.810684232118813,26.031433510641282,77.42952980071252,34.726768957929956,31.706010391585025,7.738542517693476
2019,4,56.275287602222846,17.68877980936545,26.035932588411704,77.68378884976858,34.82134626394909,31.491049617960286,7.752281929631868
2020,4,55.98190035157669,18.052862131444133,25.965237516979176,77.59527447852945,34.049488181163554,32.2515267775579,8.330615600938593
2021,4,57.504725406336,16.854348270052213,25.64092632361179,74.97604799644843,34.21509927325295,31.048338609519234,7.891840421705434
2022,4,57.842675984598394,16.560491720890642,25.596832294510964,75.56323751210878,34.85856704700041,30.64324281519438,7.786256237174914
2023,4,57.65375123606207,16.665596572408766,25.680652191529163,75.48354409245303,34.72792403684157,30.965887394402156,8.08214017109957
2024,4,57.326961712170686,16.883319150114083,25.78971913771523,75.87036353750537,34.64932481858719,31.167000791578158,8.186360138608345
2025,4,57.361005901428854,16.87671721968367,25.762276878887473,75.88852491754926,34.56178285662355,31.064306866731144,8.188840600232366
2026,2,57.78020845292932,16.6549126959631,25.564878851107576,74.76132718465908,34.4759436997112,30.604624889775348,8.103971390250772
