year,nq,ni,comp,ni_corp,lab_corp,ni_govnp,lab_govnp,ni_oth,lab_oth,L,w_corp,l_corp,w_gov,l_gov,w_oth,l_oth
1996,4,6066128.75,4421067.25,3534069,2953697,1108393.5,1108393.5,1423666.25,358976.75,72.88119708965952,0.5825905030452906,83.57779658518268,0.18271842647586403,100,0.23469107047884535,25.21495118676867
1997,4,6507330.75,4713221,3831403.5,3176578,1155187.25,1155187.25,1520740,381455.75,72.42940586660667,0.5887826586961175,82.90899144399695,0.1775209059413493,100,0.23369643536253326,25.08356129252864
1998,4,6967691.25,5075701.75,4106879,3447480.75,1217104.5,1217104.5,1643707.75,411116.5,72.84624946606237,0.5894174774176454,83.94405459717707,0.1746783053855895,100,0.23590421719676513,25.011532615819327
1999,4,7388960.75,5409932.25,4351138.25,3684311.5,1287325.75,1287325.75,1750496.75,438295,73.21641612455446,0.5888701262894108,84.67465955603686,0.17422284317858908,100,0.23690703053200005,25.038321265092325
2000,4,7927868.5,5854629.25,4664438.5,4008927,1369809.5,1369809.5,1893620.5,475892.75,73.8487179750774,0.5883597211532962,85.94661501057415,0.17278408439796902,100,0.23885619444873488,25.131368719339488
2001,4,8254359.75,6046343.25,4674450.75,4013810.5,1450050.25,1450050.25,2129858.75,582482.5,73.25029963710995,0.5663008266631461,85.86699731513912,0.1756708326166666,100,0.25802834072018727,27.34840984173246
2002,4,8465918.25,6143367.75,4725750.75,3972742.25,1554780.5,1554780.5,2185387,615845,72.56587612336087,0.5582088806491842,84.06584392966556,0.1836517261432332,100,0.25813939320758267,28.180134685527094
2003,4,8786103,6362295.5,4854368.75,4040874.5,1650672.5,1650672.5,2281061.75,670748.5,72.41316770358827,0.5525053314307834,83.24201782157567,0.18787311052465466,100,0.25962155804456194,29.405100497608185
2004,4,9322879,6729301,5139112.25,4240204,1737537.75,1737537.75,2446229,751559.25,72.18050346893915,0.5512366137112795,82.50849161739949,0.18637351723646742,100,0.2623898690522531,30.723176366562573
2005,4,9867319.75,7077721.75,5447347.75,4442988,1811947.5,1811947.5,2608024.5,822786.25,71.72891858500886,0.5520595144390654,81.56240805445182,0.18363117299406456,100,0.26430931256687007,31.54825616093714
2006,4,10531396.25,7491255.25,5825343.25,4681229.75,1895363.5,1895363.5,2810689.5,914662,71.13259317348353,0.5531406388777746,80.35972386691549,0.17997266981574261,100,0.26688669130648274,32.54226409569609
2007,4,10848025,7889368.5,5942240,4894237.75,1991355.5,1991355.5,2914429.5,1003775.25,72.72631193235635,0.5477715989776941,82.3635152737015,0.1835684836640771,100,0.2686599173582288,34.44156909611298
2008,4,10983326,8068679.5,5911169,4940328.25,2103358.75,2103358.75,2968798.25,1024992.5,73.46298835161589,0.5381948054714938,83.57616319208603,0.19150471815186038,100,0.27030047637664584,34.5255020276302
2009,4,10757221.75,7767191,5694290,4607470.75,2180153.25,2180153.25,2882778.5,979567,72.20443326828324,0.529345785774101,80.91387600561264,0.20266880247216248,100,0.2679854117537365,33.979960652544065
2010,4,11328149,7932969.25,6009064.25,4700759.5,2240385.75,2240385.75,3078699,991824,70.02882156652424,0.5304542030653022,78.22781225878887,0.1977715644453476,100,0.2717742324893502,32.21568591148404
2011,4,11843020.25,8234013,6299051.25,4927979.25,2277376,2277376,3266593,1028657.75,69.52629334565226,0.5318787874233348,78.23367447597764,0.19229689318482757,100,0.27582431939183755,31.49023309607288
2012,4,12433042,8575371,6704186.5,5182659.25,2314952.5,2314952.5,3413903,1077759.25,68.97242846923544,0.5392233453405852,77.30481916038583,0.1861935719351708,100,0.274583082724244,31.569709215522526
2013,4,12753990,8843637.75,6870172.25,5356731.25,2373069.5,2373069.5,3510748.25,1113837,69.34016531297264,0.5386684676716855,77.97084345301532,0.18606487067968533,100,0.2752666616486292,31.726484517937166
2014,4,13351355.75,9259654.5,7302378.25,5648213.5,2438119,2438119,3610858.5,1173322,69.35366470180378,0.5469390814487135,77.34758878040863,0.18261209165968034,100,0.2704488268916061,32.494266945104606
2015,4,13855512.75,9709535.25,7671326,5949840.75,2521445,2521445,3662741.75,1238249.5,70.07705470878369,0.5536659767427229,77.55948254578152,0.1819813561212305,100,0.2643526671360466,33.806628600009816
2016,4,14122636.5,9977095.75,7826715.25,6109709,2590357.75,2590357.75,3705563.5,1277029,70.64612722985542,0.5541964667857875,78.06223690072282,0.18341885029753474,100,0.26238468291667777,34.4624778390655
2017,4,14798247.5,10434978.5,8241606.25,6432103,2659801,2659801,3896840.25,1343074.5,70.51496131552064,0.5569312345938261,78.04428900009631,0.1797375668977019,100,0.26333119850847203,34.46573156289894
2018,4,15593867.5,10967688.5,8757185.75,6780647.75,2777374.5,2777374.5,4059307.25,1409666.25,70.33334418161499,0.5615788225723991,77.42952980071252,0.17810684232118812,100,0.26031433510641283,34.726768957929956
2019,4,16259697,11458471.5,9150191.25,7108215.25,2876142,2876142,4233363.75,1474114.25,70.47161764453544,0.5627528760222285,77.68378884976858,0.1768877980936545,100,0.26035932588411703,34.82134626394909
2020,4,16501094,11605747.75,9237626,7167961.25,2978919.75,2978919.75,4284548.25,1458866.75,70.33320184710178,0.5598190035157669,77.59527447852945,0.18052862131444133,100,0.2596523751697918,34.049488181163554
2021,4,18285067.75,12569555.5,10514778,7883565,3081829,3081829,4688460.75,1604161.5,68.74218718713799,0.57504725406336,74.97604799644843,0.16854348270052213,100,0.2564092632361179,34.21509927325295
2022,4,19456606.75,13462216.75,11254222,8504054.5,3222109.75,3222109.75,4980275,1736052.5,69.19097930578259,0.5784267598459839,75.56323751210878,0.16560491720890644,100,0.2559683229451096,34.85856704700041
2023,4,20590086.5,14228377.5,11870957.25,8960619.25,3431460.75,3431460.75,5287668.5,1836297.5,69.10304869287461,0.5765375123606207,75.48354409245303,0.16665596572408767,100,0.25680652191529163,34.72792403684157
2024,4,21711690.5,15049123.25,12446652.5,9443320.5,3665654,3665654,5599384,1940148.75,69.31345695997278,0.5732696171217069,75.87036353750537,0.16883319150114082,100,0.25789719137715233,34.64932481858719
2025,4,22723141,15749645.5,13034222.25,9891479,3834920.25,3834920.25,5853998.5,2023246.25,69.31104066994963,0.5736100590142885,75.88852491754926,0.1687671721968367,100,0.25762276878887475,34.56178285662355
2026,2,23555869.5,16174849,13610630.5,10175488,3923209.5,3923209.5,6022029.5,2076151.5,68.66589662504286,0.5778020845292933,74.76132718465908,0.166549126959631,100,0.25564878851107575,34.4759436997112
